,Titre,Prix,Date annonce,Étage,Surface habitable,Salons,Secteur,Latitude,Longitude,Âge du bien_1-5 ans,Âge du bien_11-20 ans,Âge du bien_21+ ans,Âge du bien_6-10 ans,Âge du bien_Neuf,month
1881,Appartement à Meknès acote Marjane decatlon,450000.0,2022-08-11,1,3,2,Ville Nouvelle,46.5375248,0.0820166,0,0,0,0,1,8
1882,Appartement 116m² en Vente à Fès,960000.0,2022-08-11,3,116,2,Agdal,33.9983119,-6.8542908,0,0,0,0,1,8
1883,appt a hay el menzeh,850000.0,2022-08-11,0,91,1,Yacoub El Mansour,33.9895343,-6.8811155,0,1,0,0,0,8
1884,Appartement 92m² à El Jadida,700000.0,2022-08-11,0,92,1,Saada,17.063405,43.914884,0,0,0,1,0,8
1885,Appartement 60m² en Vente à Salé,580000.0,2022-08-11,1,60,1,Hay Karima,34.0541743,-6.794467,0,0,0,1,0,8
1886,شقة بسيدي مومن قرب مدار جوهرة,440000.0,2022-08-11,2,65,1,Sidi Moumen,33.5843834,-7.5072051,0,1,0,0,0,8
1887,appartement luxe façade la ville haut,960000.0,2022-08-11,2,123,2,La Ville Haute,34.2609146,-6.5902809,1,0,0,0,0,8
1888,étage de maison marchand,310000.0,2022-08-11,1,45,2,Marchan,43.8948314,-0.1032316,0,1,0,0,0,8
1889,Appartement 110m² en Vente à Oujda,500000.0,2022-08-11,4,110,2,Bd Allal el fassi,34.2148018,-4.008874,0,0,1,0,0,8
1890,appartement a Tétouan,390000.0,2022-08-11,2,1,1,Touilaa,35.588024,-5.3505876,0,0,0,0,1,8
1891,Appartement en Vente à Kénitra,1600000.0,2022-08-11,1,166,2,Mimosas,47.3366191,-2.4296783565399487,0,0,0,1,0,8
1892,Appartement 470000,470000.0,2022-08-11,3,61,1,Sidi Bernoussi,33.6190686,-7.5003234,0,1,0,0,0,8
1893,Bel appart Quartier les Princesses,1850000.0,2022-08-11,3,131,1,Les Princesses,46.680959,5.5529339,0,0,0,1,0,8
1894,شقة للبيع,250000.0,2022-08-11,4,85,1,Oued Fès,34.0545279,-5.0328362,1,0,0,0,0,8
1895,Appartement 236m² en Vente à Anoual,2600000.0,2022-08-11,5,236,3,2 Mars,36.83747145,10.101498375786042,0,1,0,0,0,8
1896,appartement à vendre ,360000.0,2022-08-11,0,47,1,Hay Mohammadi,33.5841444,-7.5569559,0,0,0,1,0,8
1897,Appartement 110m² en Vente à Casablanca,1290000.0,2022-08-11,6,110,2,La Gironde,47.2583094,4.7188944,0,0,0,0,1,8
1898,appartement à vendre ,1100000.0,2022-08-11,2,87,1,Oulfa,33.5512214,-7.6843485,1,0,0,0,0,8
1899,Appartement 88m² en Vente à Marrakech,650000.0,2022-08-11,4,88,2,Amerchich,31.6695899,-8.0044112,0,1,0,0,0,8
1900,Appartement 52m² en Vente à Casablanca,410000.0,2022-08-11,2,52,1,Sidi Moumen,33.5843834,-7.5072051,1,0,0,0,0,8
1901,Appartement meublé en Vente à El Jadida,640000.0,2022-08-11,1,67,1,Hay Essalam,35.0160831,-2.3455481,1,0,0,0,0,8
1902,Très bel Appartement à vendre à Kénitra,650000.0,2022-08-11,1,115,2,Bir Rami,34.2474668,-6.6022329,0,0,0,1,0,8
1903,شقة للبيع بسيدي مومن,390000.0,2022-08-11,3,59,1,Sidi Moumen,33.5843834,-7.5072051,0,0,0,1,0,8
1904,appartement a sidi moumen,390000.0,2022-08-11,3,59,1,Sidi Moumen,33.5843834,-7.5072051,0,0,0,1,0,8
1905,Appartement 54m² en Vente à Marrakech,340000.0,2022-08-11,2,54,1,Es Saada,36.79934005,10.14921065189649,0,1,0,0,0,8
1906,Appartement 50m² en Vente à Casablanca,370000.0,2022-08-11,4,50,1,Oulfa,33.5512214,-7.6843485,0,0,0,1,0,8
1907,Appartement 84m² en Vente à Agadir,890000.0,2022-08-11,2,84,1,Wifaq,13.7585475,44.1800981,0,0,0,0,1,8
1908,appartement à vendre ,640000.0,2022-08-11,1,64,1,Aïn Borja,33.586778,-7.5911737,0,0,0,1,0,8
1909,Appartement 72m a vendre a hay salam,517000.0,2022-08-11,1,72,1,Hay Salam,33.8940706,-5.5816543,0,0,0,1,0,8
1910,appartement de luxe Wilaya,900000.0,2022-08-11,6,82,1,Wilaya,35.5889144,-5.3393867,1,0,0,0,0,8
1911,Appartement CGI,1600000.0,2022-08-11,2,86,1,Guich Oudaya,33.94383005,-6.884807971402879,0,0,0,1,0,8
1912,Appartement à vendre sidi Maarouf,445000.0,2022-08-11,1,47,1,Sidi Maarouf,36.6400065,6.2741706,0,1,0,0,0,8
1913,Appartement en Vente à Tanger Malabata,2200000.0,2022-08-11,3,125,2,Malabata,43.9639253,4.8584904,1,0,0,0,0,8
1914,Vente Apparemment Avenue Imam Ali,650000.0,2022-08-11,6,91,1,Mimosas,47.3366191,-2.4296783565399487,0,1,0,0,0,8
1915,شقة للبيع ,410000.0,2022-08-11,1,68,1,Bab Fès,34.2693265,-6.5621896,1,0,0,0,0,8
1916,Appartement à vendre.,1760000.0,2022-08-11,4,90,2,Val Fleuri,35.769499,-5.8358982,0,0,0,1,0,8
1917,Appartement 74m² à Marrakech doha,460000.0,2022-08-11,2,74,1,Les Portes de Marrakech,31.6491388,-8.0385605,0,0,0,1,0,8
1918,appartement branes 2 a vendre tanger ,800000.0,2022-08-11,0,110,1,Branes 2,34.807363,-84.57515,0,0,0,1,0,8
1919,Appartement en Vente à adoha,460000.0,2022-08-11,2,74,1,Les Portes de Marrakech,31.6491388,-8.0385605,0,0,0,1,0,8
1920,شقة للبيع Appart à vendre,740000.0,2022-08-11,3,66,1,Sidi Maarouf,36.6400065,6.2741706,0,1,0,0,0,8
1921,apprt a vendre,520000.0,2022-08-11,4,67,1,Sala el Jadida,33.9990238,-6.7428594,0,1,0,0,0,8
1922,Appartement 63m² en Vente à Casablanca,460000.0,2022-08-11,1,63,1,Aïn Sebaâ,33.6059943,-7.5387936,0,1,0,0,0,8
1923,Appartement,460000.0,2022-08-11,2,72,1,Bir Rami,34.2474668,-6.6022329,1,0,0,0,0,8
1924,Appartement 100m² en Vente à Rabat,1800000.0,2022-08-11,3,100,1,Agdal,33.9983119,-6.8542908,0,0,1,0,0,8
1925,appartement 76m,580000.0,2022-08-11,0,71,2,El Qaria,33.1284472,35.3888316,0,0,0,1,0,8
1926,Appartement 110m² en Vente à Casablanca,1450000.0,2022-08-11,2,110,1,Roches Noires,33.5931914,-7.5957822,1,0,0,0,0,8
1927,appartement a vendre a Misimi oulfa ,670000.0,2022-08-11,0,60,1,Oulfa,33.5512214,-7.6843485,0,1,0,0,0,8
1928,Appartement 87m² en Vente à Casablanca,900000.0,2022-08-11,1,90,1,Derb Omar,33.0014126,-7.613991,0,0,1,0,0,8
1929,apprt a vendre ,520000.0,2022-08-11,4,67,1,Sala el Jadida,33.9990238,-6.7428594,0,1,0,0,0,8
1930,Appartement 60m² en Vente à Mohammedia,520000.0,2022-08-11,3,60,1,Nassim,30.3661691,-9.5267124,0,0,0,0,1,8
1931,Bel appartement ayant 2 façades à vendre ,450000.0,2022-08-11,2,58,1,Les Portes de Marrakech,31.6491388,-8.0385605,0,0,0,1,0,8
1932,Appartement 100m² en Vente à Kénitra,700000.0,2022-08-11,2,100,2,Taïbia,23.7682963,90.3604972,0,0,0,1,0,8
1933,Appartement 77m² en Vente à Nassim 1 Sidi Maarouf,700000.0,2022-08-11,1,77,1,Sidi Maarouf,36.6400065,6.2741706,0,0,0,1,0,8
1934,appartement a temara,710000.0,2022-08-11,1,79,1,Skikina,33.9107361,-6.9322297,0,0,0,1,0,8
1935,شقة فالسعادة ,320000.0,2022-08-11,2,53,1,Es Saada,36.79934005,10.14921065189649,1,0,0,0,0,8
1936,Appartement 85m² en Vente à Tanger,750000.0,2022-08-11,3,85,3,El Majd,48.9147101,2.3836691,0,1,0,0,0,8
1937,Appartement 2chambres en Vente à Kénitra,580000.0,2022-08-11,1,80,1,Bir Rami,34.2474668,-6.6022329,0,0,0,0,1,8
1938,Appartement 73m² en Vente à Casablanca,540000.0,2022-08-10,3,73,1,Hay Moulay Rachid 4,33.550607,-7.5573886,0,1,0,0,0,8
1939,appartement ,300000.0,2022-08-10,1,80,1,Oued Fès,34.0545279,-5.0328362,0,0,0,1,0,8
1940,Appartement avec piscine à Marrakech,850000.0,2022-08-10,3,108,1,Mabrouka,14.9208624,33.4502341,0,0,0,0,1,8
1941,Appartement 1er étage à vendre à Sidi Maarouf,960000.0,2022-08-10,1,75,1,Sidi Maarouf,36.6400065,6.2741706,1,0,0,0,0,8
1942,Appartement 120m² 110milion av des far à Agadir,1100000.0,2022-08-10,1,120,2,Av des Far,35.5922414,-5.3430757,1,0,0,0,0,8
1943,Appartement 134m très bien situé,1470000.0,2022-08-10,1,134,1,Centre Ville,48.9089508,2.2909920324748017,0,0,1,0,0,8
1944,Appartement de 88 m2 Massira Temara,800000.0,2022-08-10,3,88,1,Massira,33.9912042,-5.0590273,0,0,0,1,0,8
1945,Jolie apparte en vente haute d'agdal ,3900000.0,2022-08-10,4,180,2,Agdal,33.9983119,-6.8542908,0,1,0,0,0,8
1946,Appartement meublé a hay hassani ,740000.0,2022-08-10,4,74,1,Hay Hassani,33.5670464,-7.6784886,0,0,0,1,0,8
1947,Appartement 102m² en Vente à Agadir,860000.0,2022-08-10,6,102,1,Hay Mohammadi,33.5841444,-7.5569559,0,0,0,1,0,8
1948,Appartement 105m² en Vente à Rabat Agdal,1550000.0,2022-08-10,3,98,1,Agdal,33.9983119,-6.8542908,0,1,0,0,0,8
1949,شقق 70m² للبيع في الدار البيضاء,850000.0,2022-08-10,2,70,1,Bourgogne,47.27808725,4.222486304306048,0,1,0,0,0,8
1950,Appartement 98m² en Vente à Oujda,440000.0,2022-08-10,2,98,1,Route Jerada,34.6503441,-1.9631772,1,0,0,0,0,8
1951,Appartement à Kénitra,350000.0,2022-08-10,2,85,1,Fouarate,33.5797024,-7.5609031,1,0,0,0,0,8
1952,شقة ,350000.0,2022-08-10,3,60,2,Centre ville,48.9089508,2.2909920324748017,0,0,1,0,0,8
1953,RDC & Cave 222m ² en Vente à Casablanca,1500000.0,2022-08-10,0,93,1,Sidi Maarouf,36.6400065,6.2741706,0,1,0,0,0,8
1954,Appartement à vendre 85 m2 Valdor Harhoura,1520000.0,2022-08-10,1,85,1,Harhoura,33.914435,-6.9702597,1,0,0,0,0,8
1955,Appartement 70m² en Vente à Casablanca,800000.0,2022-08-10,7,70,1,La Gironde,47.2583094,4.7188944,0,1,0,0,0,8
1956,Appartement 173m² en Vente à Fès,1200000.0,2022-08-10,4,173,3,Agdal,33.9983119,-6.8542908,0,1,0,0,0,8
1957,appartement ,350000.0,2022-08-10,3,50,1,Oulfa,33.5512214,-7.6843485,0,0,0,1,0,8
1958,appart 102m2 ( 1300000 dh.) à vendre C.I.L CASA,1300000.0,2022-08-10,3,102,2,C.I.L,44.8851871,24.8349182,0,1,0,0,0,8
1959,Appartement 88m² en Vente à Tanger ETAGE 4 ,600000.0,2022-08-10,4,88,1,El Majd,48.9147101,2.3836691,0,1,0,0,0,8
1960,appartement Hay salam abassi,460000.0,2022-08-10,3,96,1,Sidi Bernoussi,33.6190686,-7.5003234,0,0,0,1,0,8
1961,Appartement ,630000.0,2022-08-10,1,70,1,Centre,47.5490251,1.7324062,0,0,0,0,1,8
1962,Appartement en bon Etat,1000000.0,2022-08-10,4,94,1,Derb Omar,33.0014126,-7.613991,0,1,0,0,0,8
1963,Appartement situé à Hay nehda Rabat 56 m2,480000.0,2022-08-10,1,56,1,Hay Nahda,34.6797686,-1.9500751,0,0,0,1,0,8
1964,appartement magnifique,850000.0,2022-08-10,2,123,2,Hay saada,36.1508419,1.3392473,0,1,0,0,0,8
1965,Appartement sur bv Fouarat ( Fal El khir ) ,600000.0,2022-08-10,2,59,1,Hay Mohammadi,33.5841444,-7.5569559,0,1,0,0,0,8
1966,Appartement 83m² en Vente à Kénitra,500000.0,2022-08-10,3,83,1,Ouled Oujih,34.2595543,-6.6218953,0,1,0,0,0,8
1967,Appartement 50m² en Vente à Casablanca,360000.0,2022-08-10,1,50,1,Hay Alfalah,34.6743315,-1.8763527,1,0,0,0,0,8
1968,Vente Apt,1650000.0,2022-08-10,1,101,2,Harhoura,33.914435,-6.9702597,0,0,0,1,0,8
1969,Appartement moyen standing en Vente à Casablanca,780000.0,2022-08-10,3,70,1,Aïn Sebaâ,33.6059943,-7.5387936,1,0,0,0,0,8
1970, شقة بعمارة على شارع كماسة,460000.0,2022-08-10,1,68,1,M'Hamid,29.825359,-5.721689,0,0,0,1,0,8
1971,شقة ممتازة مصلوحة باناسي الدارالبيضاء ,400000.0,2022-08-10,0,50,1,Sidi Bernoussi,33.6190686,-7.5003234,0,1,0,0,0,8
1972,apparemment ,750000.0,2022-08-10,3,121,1,Bd Moulay Abdellah,33.5227948,-5.1233934,0,0,1,0,0,8
1973,Appartement de 106 m² à Guéliz,880000.0,2022-08-10,2,106,1,Guéliz,31.6321881,-8.0108135,0,0,1,0,0,8
1974,appartement a vendre,700000.0,2022-08-10,3,74,1,Wifak,33.8947254,-5.579994,0,0,0,1,0,8
1975,Appartement 63m² à Marrakech,400000.0,2022-08-10,3,63,1,Hay Izdihar,33.9811039,-6.8845328,0,1,0,0,0,8
1976,Appartement 64m² en Vente à Marrakech,1000000.0,2022-08-10,2,64,1,Hivernage,47.18994185,-1.642897962116237,0,1,0,0,0,8
1977,Appartement 88m² en Vente à Marrakech,620000.0,2022-08-10,3,88,1,Hay Izdihar,33.9811039,-6.8845328,0,0,0,1,0,8
1978,apparemment sarout Bourgognes ,440000.0,2022-08-10,3,120,1,Bourgogne,47.27808725,4.222486304306048,0,0,1,0,0,8
1979,Appartement 93m² en Vente à Mohammedia,880000.0,2022-08-10,3,93,1,El Alia,34.75208000000001,10.721927654590012,0,0,0,1,0,8
1980,Appartement 107m² en Vente à Salé,1050000.0,2022-08-10,1,106,2,Tabriquet,34.0426095,-6.8071038,0,0,0,1,0,8
1981,DUPLEX en Vente à Casablanca Bd Abdelmoumen ,1400000.0,2022-08-10,4,93,1,Derb Ghallef,33.57061365,-7.630056953049269,0,0,0,1,0,8
1982,Appartement 96m² en Vente à Temara,1400000.0,2022-08-10,0,96,2,Wifak,33.8947254,-5.579994,0,0,0,0,1,8
1983,vente Appartement F3 Neuf 121 m2 Izdihar Marrakech,760000.0,2022-08-10,0,121,1,Hay Izdihar,33.9811039,-6.8845328,0,0,0,0,1,8
1984,Appartement 102m² en Vente à Casablanca,2050000.0,2022-08-10,2,102,2,Bourgogne,47.27808725,4.222486304306048,1,0,0,0,0,8
1985,Appartement F2 Guéliz Marrakech Facilité Paiement,660000.0,2022-08-10,1,49,1,Guéliz,31.6321881,-8.0108135,0,0,0,0,1,8
1986,شقة جديدة 121م2 قرب مرجان حي الإزدهار مراكش,760000.0,2022-08-10,0,121,1,Hay Izdihar,33.9811039,-6.8845328,0,0,0,0,1,8
1987,Appartement à vendre ,290000.0,2022-08-10,2,71,1,Hay El Andalous,34.0470461,-6.7787358,1,0,0,0,0,8
1988,Appartement meublé ,1300000.0,2022-08-10,1,122,1,Hay Salam,33.8940706,-5.5816543,0,0,0,1,0,8
1989,appartement à vendre façade 155m² la ville haut,1220000.0,2022-08-10,1,155,2,La Ville Haute,34.2609146,-6.5902809,1,0,0,0,0,8
1990,appartement Haute standing ,1270000.0,2022-08-10,1,117,2,Hay Izdihar,33.9811039,-6.8845328,0,0,0,1,0,8
1991,Appartement 75m² en Vente à Casablanca,870000.0,2022-08-10,1,75,1,Al Fida,33.5649078,-7.5965827,1,0,0,0,0,8
1992,Appartement 56m² en Vente à Casablanca,360000.0,2022-08-10,3,56,1,Ben M'sick,33.5542611,-7.5813658,0,1,0,0,0,8
1993,Appartement 97m² en Vente à Kénitra,830000.0,2022-08-10,4,97,2,Maamora,36.0331234,3.5514666,0,0,0,1,0,8
1994,appartement à vendre targa 32 mlion,320000.0,2022-08-10,1,52,1,Hay Targa,33.0042215,-7.6291385,0,0,0,1,0,8
1995,شقة هوتة في أليانس جديدة ,290000.0,2022-08-10,3,60,1,Ouled Oujih,34.2595543,-6.6218953,0,0,0,0,1,8
1996,2ème étage ain sbaa acout la fak et marjane ,400000.0,2022-08-10,2,54,1,Aïn Sebaâ,33.6059943,-7.5387936,0,0,0,1,0,8
1997,2etage avender ain sbaa acoute tramvay ,330000.0,2022-08-10,2,53,1,Aïn Sebaâ,33.6059943,-7.5387936,0,0,0,1,0,8
1998,1etage avendr en face marjane et ENSSG ,450000.0,2022-08-10,1,53,1,Aïn Sebaâ,33.6059943,-7.5387936,0,0,0,1,0,8
1999,Belle appartement à vendre ,650000.0,2022-08-10,2,88,1,La Ville Haute,34.2609146,-6.5902809,0,0,0,1,0,8
2000,Appartement 115m² en Vente à Kénitra,790000.0,2022-08-10,0,115,2,La Ville Haute,34.2609146,-6.5902809,0,0,0,1,0,8
2001,appartement de 151 m2,2000000.0,2022-08-10,2,151,2,Maarif,35.3750725,4.2721827,0,0,0,1,0,8
2002,Appartement 92m² en Vente à Kénitra,1230000.0,2022-08-10,3,92,1,Centre,47.5490251,1.7324062,0,0,0,0,1,8
2003,شقة البيع في حي نسيم المحمدية طابق تاني مشمسة,470000.0,2022-08-10,1,62,1,Nassim,30.3661691,-9.5267124,1,0,0,0,0,8
2004,Appartement 110m² en Vente à Salé,790000.0,2022-08-10,3,110,1,Hay Salam,33.8940706,-5.5816543,0,0,1,0,0,8
2005,شقه للبيع,560000.0,2022-08-10,5,115,2,Hamria,32.7673988,35.1682,0,1,0,0,0,8
2006,شقة مشمسة بالقرب من خط ترامواي ,340000.0,2022-08-10,2,56,1,Aïn Sebaâ,33.6059943,-7.5387936,0,1,0,0,0,8
2007,Appartement vue sur mer de 130m² à Casablanca,3600000.0,2022-08-10,3,130,1,Bourgogne,47.27808725,4.222486304306048,0,1,0,0,0,8
2008,Appartement 110m² en Vente à Casablanca,1150000.0,2022-08-10,2,110,2,Oulfa,33.5512214,-7.6843485,0,1,0,0,0,8
2009,Studio à vendre meublé à Quartier park 60 mètr ,730000.0,2022-08-10,3,60,1,Quartier du Parc,43.9823106,0.4452671,1,0,0,0,0,8
2010,Appartement 122m² en Vente à Rabat,1360000.0,2022-08-10,5,122,2,Diour Jamaa,34.015746750000005,-6.849800054149153,0,0,1,0,0,8
2011,Appartement 140m² en Vente à Casablanca,1360000.0,2022-08-10,1,140,2,Belvédère,44.0152334,7.3198676,0,1,0,0,0,8
2012,Appartement 105m² en Vente à Rabat,1050000.0,2022-08-10,5,105,2,Diour Jamaa,34.015746750000005,-6.849800054149153,0,0,1,0,0,8
2013,Appartement 93m² en Vente à Rabat,1650000.0,2022-08-10,1,93,1,Hassan,13.0070817,76.0992703,0,0,1,0,0,8
2014,un joli appartement de 198 m² en vente bien agencé,1485000.0,2022-08-10,3,198,2,Centre,47.5490251,1.7324062,0,0,0,1,0,8
2015,appartement quartier administrative ,3729000.0,2022-08-10,1,100,1,Mechouar,33.5795289,-7.605685475970199,0,1,0,0,0,8
2016,Appartement en Vente à sale(Sala al jadida),380000.0,2022-08-10,0,50,2,Sala el Jadida,33.9990238,-6.7428594,0,1,0,0,0,8
2017,Appartement 45m² en Vente à Marrakech,330000.0,2022-08-10,4,45,1,Es Saada,36.79934005,10.14921065189649,1,0,0,0,0,8
2018,Appartement 105m² en Vente à Fès,1200000.0,2022-08-10,2,105,1,Agdal,33.9983119,-6.8542908,1,0,0,0,0,8
2019,شقة في الموحدين ,355000.0,2022-08-09,1,73,1,Route Jerada,34.6503441,-1.9631772,1,0,0,0,0,8
2020,شقة بمساحة 115 م² بالدور الثانى بسعر قابل للتفاوض,360000.0,2022-08-09,2,115,2,Oued Fès,34.0545279,-5.0328362,0,0,1,0,0,8
2021,شقق للبيع في الالفة الدار البيضاء,260000.0,2022-08-09,1,40,1,Oulfa,33.5512214,-7.6843485,1,0,0,0,0,8
2022,Appartement 213 m² en Vente à Kénitra,1480000.0,2022-08-09,4,200,2,Centre,47.5490251,1.7324062,1,0,0,0,0,8
2023,Appartement en Vente à Oulfa,320000.0,2022-08-10,0,49,1,Oulfa,33.5512214,-7.6843485,1,0,0,0,0,8
2024,Appartement 102m² en Vente à Casablanca,1071000.0,2022-08-10,3,102,2,Roches Noires,33.5931914,-7.5957822,0,1,0,0,0,8
2025,شقة رائعة للبيع لاجروند موقع راءع ,1100000.0,2022-08-10,3,94,1,La Gironde,47.2583094,4.7188944,0,0,0,1,0,8
2026,Appartement,1650000.0,2022-08-10,5,125,1,Médina,24.471153,39.6111216,0,0,0,0,1,8
2027,Appartement 58m² en Vente à Casablanca,380000.0,2022-08-10,2,58,1,Aïn Sebaâ,33.6059943,-7.5387936,0,0,0,1,0,8
2028,Appartement 83m² en Vente à Mohammedia,700000.0,2022-08-10,1,83,1,Nassim,30.3661691,-9.5267124,0,0,0,0,1,8
2029,Appartement 112m² en haut founty à Agadir,1344000.0,2022-08-10,1,112,1,Haut-Founty,30.399291,-9.5784304,0,0,0,0,1,8
2030,appartement ,800000.0,2022-08-10,3,97,1,Sidi Hajji,34.7052104,11.203007829875114,0,1,0,0,0,8
2031,Appartement 92m² proche de casanearshor,900000.0,2022-08-10,1,92,1,Hay Inara,34.6633925,-1.9055818,1,0,0,0,0,8
2032,Appartement 93m² en Vente à Tanger,850000.0,2022-08-10,5,93,1,Aouama Gharbia,35.7261824,-5.8038898,0,0,0,0,1,8
2033,apparemment à vendre,640000.0,2022-08-10,4,74,1,El Haddada,21.267315,-13.611894,1,0,0,0,0,8
2034,Appartement 54m² en Vente à Tanger,265000.0,2022-08-10,2,54,1,Achakar,39.3773402,46.2673894,0,0,0,1,0,8
2035,شقة للبيع في أناسي,350000.0,2022-08-10,2,52,1,Sidi Bernoussi,33.6190686,-7.5003234,0,0,0,1,0,8
2036,شقة للبيع ,300000.0,2022-08-10,4,56,1,Hay Essalam,35.0160831,-2.3455481,1,0,0,0,0,8
2037,vente,300000.0,2022-08-10,3,63,1,Al Kawtar,34.6941041,-1.893077,0,0,0,0,1,8
2038,Jolie appartement a vendre ,900000.0,2022-08-10,4,86,2,Allal El Fassi,35.2453194,-3.9345554,0,1,0,0,0,8
2039,Appartement 140m² en Vente à Casablanca,2000000.0,2022-08-10,4,140,2,2 Mars,36.83747145,10.101498375786042,0,1,0,0,0,8
2040,Appartement avec vue exceptionnelle ,3480000.0,2022-08-10,7,170,2,Hay Riad,34.9243469,-2.3059319,0,0,0,1,0,8
2041,Appartement meublé à Fès,800000.0,2022-08-10,2,134,2,Narjis,30.36714945,-9.521811965004554,0,1,0,0,0,8
2042,Appartement,400000.0,2022-08-10,1,60,1,Al Kawtar,34.6941041,-1.893077,1,0,0,0,0,8
2043,Duplex de 117m2 en vente - Quartier Riad Essalam,890000.0,2022-08-10,2,117,2,Riad 1,44.6797442,27.7058635,1,0,0,0,0,8
2044,appartement haut agdal à saisir ,1650000.0,2022-08-10,0,70,1,Haut Agdal,33.955528,-6.8730154,0,1,0,0,0,8
2045,شقة رائعة للبيع بتجزئة سايس زواغة بفاس,360000.0,2022-08-10,1,68,1,Saies,-35.0446091,173.7066643,1,0,0,0,0,8
2046,appartement salé ,680000.0,2022-08-10,3,70,1,Hay Rahma,34.0567719,-6.7960569,0,0,0,1,0,8
2047,Appartement 55m² à Casablanca,500000.0,2022-08-10,2,55,1,Hay Hassani,33.5670464,-7.6784886,0,1,0,0,0,8
2048,vente appartement ,740000.0,2022-08-10,1,92,2,Azzouzia,31.6849361,-8.0619515,0,0,0,0,1,8
2049,Superbe maison à vendre ,250000.0,2022-08-10,2,84,3,Route de Ouarzazate,30.5753988,-7.1663284,0,0,0,0,1,8
2050,Appartement et garage,760000.0,2022-08-10,2,110,2,Oued Fès,34.0545279,-5.0328362,0,0,0,0,1,8
2051,appartement a vendre école berchet tanger,1220000.0,2022-08-10,3,89,2,Centre ville,48.9089508,2.2909920324748017,0,0,0,1,0,8
2052,Appartement 103m2,1300000.0,2022-08-10,3,103,2,2 Mars,36.83747145,10.101498375786042,0,1,0,0,0,8
2053,Appartement 58m² à Casablanca,470000.0,2022-08-10,3,58,1,Sidi Bernoussi,33.6190686,-7.5003234,0,0,0,1,0,8
2054,appartement neuf a vendre tanger,1300000.0,2022-08-10,2,11,2,Marjane,33.8658205,-5.5849201,0,0,0,0,1,8
2055,Appartement ,330000.0,2022-08-10,2,55,1,Targa,-41.31128,147.36773,1,0,0,0,0,8
2056,appartement a vendre marjane tanger,480000.0,2022-08-10,2,50,1,Marjane,33.8658205,-5.5849201,0,1,0,0,0,8
2057,Très belle appartement a vendre,640000.0,2022-08-10,2,87,2,Hamria,32.7673988,35.1682,0,0,1,0,0,8
2058,Appartement à Rabat,1700000.0,2022-08-10,1,100,2,Quartier de l'Océan,50.8402655,4.3430116,1,0,0,0,0,8
2059,شقة في حي الأزهر,340000.0,2022-08-10,0,57,1,Sidi Bernoussi,33.6190686,-7.5003234,0,0,0,1,0,8
2060,شقة,260000.0,2022-08-10,3,65,1,Hay salam,33.8940706,-5.5816543,0,0,0,0,1,8
2061,Appartement avec piscine ,930000.0,2022-08-10,1,98,2,Mimosas,47.3366191,-2.4296783565399487,0,0,0,1,0,8
2062,Appartement ,560000.0,2022-08-10,6,62,1,El Majd,48.9147101,2.3836691,0,0,0,0,1,8
2063,شقة بقصبة الأمين,420000.0,2022-08-10,1,60,1,Lissasfa,33.5314545,-7.6724261,1,0,0,0,0,8
2064,Appartement 54m² en Vente à Agadir,450000.0,2022-08-10,2,54,1,Hay Salam,33.8940706,-5.5816543,1,0,0,0,0,8
2065,دوبليكس همزة,470000.0,2022-08-10,3,66,1,Mabrouka,14.9208624,33.4502341,1,0,0,0,0,8
2066,Appartement 78m² en Vente à Casablanca,1250000.0,2022-08-10,2,78,1,Bourgogne,47.27808725,4.222486304306048,0,1,0,0,0,8
2067,Appartement a Hay Tilila ,770000.0,2022-08-10,1,70,1,Tilila,30.3984274,-9.516003,0,0,0,0,1,8
2068,Appartement 70m² à Marrakech,560000.0,2022-08-10,1,70,2,M'Hamid,29.825359,-5.721689,0,0,0,0,1,8
2069,شقة ممتازة,960000.0,2022-08-10,0,96,2,Sidi Bernoussi,33.6190686,-7.5003234,0,0,0,1,0,8
2070,Appartement 70m2 à Casablanca,1220000.0,2022-08-10,3,70,1,Bourgogne,47.27808725,4.222486304306048,0,0,0,1,0,8
2071,شقة مفروشة ونظيفة ,470000.0,2022-08-10,2,50,1,Moujahidine,35.7712561,-5.8442361,0,0,0,1,0,8
2072,Bel Appartement en Vente à Sala al jadida,1100000.0,2022-08-10,4,112,1,Sala el Jadida,33.9990238,-6.7428594,1,0,0,0,0,8
2073,بيع,540000.0,2022-08-10,1,70,2,Hay Rahma,34.0567719,-6.7960569,0,0,0,1,0,8
2074,appartement neuf à vendre 73m² a la ville haut,690000.0,2022-08-10,3,73,1,La Ville Haute,34.2609146,-6.5902809,0,0,0,0,1,8
2075,Garçonniére à vendre 50m² centre ville façade,380000.0,2022-08-10,4,50,1,Centre,47.5490251,1.7324062,0,1,0,0,0,8
2076,Appartement 55m² en Vente à Marrakech Dar Essaada,380000.0,2022-08-10,1,55,1,Hay Charaf,34.6599666,-1.9042481,0,1,0,0,0,8
2077,مجمع حسني جزناية طنجة,300000.0,2022-08-10,3,54,1,Hay Hassani,33.5670464,-7.6784886,0,0,0,1,0,8
2078,Appartement 1er deux face à Agadir,450000.0,2022-08-10,1,52,1,El Houda,30.3992428,-9.5374739,1,0,0,0,0,8
2079,Appartement 111m² à Fès,600000.0,2022-08-10,3,111,1,Centre,47.5490251,1.7324062,0,0,1,0,0,8
